onset	duration	sample	trial_type
0.000000	0.000000	1	start
122.188000	0.000000	61095	S41
123.722000	0.000000	61862	S42
124.084000	0.000000	62043	S43
127.954000	0.000000	63978	S71
129.488000	0.000000	64745	S72
129.840000	0.000000	64921	S73
133.588000	0.000000	66795	S11
135.122000	0.000000	67562	S12
135.394000	0.000000	67698	S13
138.788000	0.000000	69395	S21
140.322000	0.000000	70162	S22
140.680000	0.000000	70341	S23
144.454000	0.000000	72228	S11
145.988000	0.000000	72995	S12
146.304000	0.000000	73153	S16
149.788000	0.000000	74895	S31
151.322000	0.000000	75662	S32
151.590000	0.000000	75796	S33
154.938000	0.000000	77470	S81
156.472000	0.000000	78237	S82
156.772000	0.000000	78387	S83
160.238000	0.000000	80120	S81
161.772000	0.000000	80887	S82
162.108000	0.000000	81055	S83
165.804000	0.000000	82903	S51
167.338000	0.000000	83670	S52
167.624000	0.000000	83813	S53
171.040000	0.000000	85521	S71
172.572000	0.000000	86287	S72
172.934000	0.000000	86468	S73
176.704000	0.000000	88353	S71
178.238000	0.000000	89120	S72
178.506000	0.000000	89254	S73
181.872000	0.000000	90937	S31
183.406000	0.000000	91704	S32
183.764000	0.000000	91883	S33
187.522000	0.000000	93762	S41
189.056000	0.000000	94529	S42
189.350000	0.000000	94676	S43
192.772000	0.000000	96387	S81
194.306000	0.000000	97154	S82
194.668000	0.000000	97335	S83
198.456000	0.000000	99229	S21
199.988000	0.000000	99995	S22
200.316000	0.000000	100159	S23
203.922000	0.000000	101962	S71
205.456000	0.000000	102729	S72
205.760000	0.000000	102881	S73
209.272000	0.000000	104637	S81
210.806000	0.000000	105404	S82
211.110000	0.000000	105556	S83
214.588000	0.000000	107295	S61
216.122000	0.000000	108062	S62
216.464000	0.000000	108233	S63
220.138000	0.000000	110070	S11
221.672000	0.000000	110837	S12
221.946000	0.000000	110974	S13
225.290000	0.000000	112646	S61
226.822000	0.000000	113412	S62
227.096000	0.000000	113549	S63
230.472000	0.000000	115237	S41
232.006000	0.000000	116004	S42
232.306000	0.000000	116154	S43
235.772000	0.000000	117887	S41
237.306000	0.000000	118654	S42
237.586000	0.000000	118794	S46
240.938000	0.000000	120470	S71
242.472000	0.000000	121237	S72
242.746000	0.000000	121374	S73
246.106000	0.000000	123054	S21
247.640000	0.000000	123821	S22
247.976000	0.000000	123989	S23
251.624000	0.000000	125813	S31
253.156000	0.000000	126579	S32
253.508000	0.000000	126755	S33
257.256000	0.000000	128629	S81
258.790000	0.000000	129396	S82
259.080000	0.000000	129541	S83
262.540000	0.000000	131271	S41
264.072000	0.000000	132037	S42
264.404000	0.000000	132203	S43
268.072000	0.000000	134037	S61
269.606000	0.000000	134804	S62
269.912000	0.000000	134957	S63
273.390000	0.000000	136696	S11
274.922000	0.000000	137462	S12
275.218000	0.000000	137610	S13
278.672000	0.000000	139337	S81
280.206000	0.000000	140104	S82
280.564000	0.000000	140283	S83
284.322000	0.000000	142162	S21
285.856000	0.000000	142929	S22
286.166000	0.000000	143084	S23
289.656000	0.000000	144829	S81
291.190000	0.000000	145596	S82
291.516000	0.000000	145759	S83
295.106000	0.000000	147554	S21
296.640000	0.000000	148321	S22
296.908000	0.000000	148455	S23
300.206000	0.000000	150104	S61
301.740000	0.000000	150871	S62
302.024000	0.000000	151013	S63
305.390000	0.000000	152696	S71
306.922000	0.000000	153462	S72
307.270000	0.000000	153636	S73
311.006000	0.000000	155504	S11
312.540000	0.000000	156271	S12
312.898000	0.000000	156450	S13
316.640000	0.000000	158321	S51
318.172000	0.000000	159087	S52
318.510000	0.000000	159256	S53
322.172000	0.000000	161087	S41
323.706000	0.000000	161854	S42
324.032000	0.000000	162017	S43
327.606000	0.000000	163804	S71
329.140000	0.000000	164571	S72
329.424000	0.000000	164713	S73
332.822000	0.000000	166412	S51
334.356000	0.000000	167179	S52
334.710000	0.000000	167356	S53
338.440000	0.000000	169221	S41
